batch,dot,zdot,div
319,2.747017539,1.169746039,2.957162244
320,0.1201605673,3.554876521,1.044757969
321,1.848003157,1.488073213,2.231256645
322,0.7679810889,3.163552078,1.510734452
323,1.460833474,3.108057401,1.484688284
324,3.973256283,2.430658638,0.9653370984
325,2.277197639,0.5239950813,1.612002405
326,0.006038456503,0.1746837751,3.667121947
327,1.332510043,2.487350634,2.137153885
328,1.081797314,0.1097484252,3.332477678
329,1.366041714,2.844477954,1.402650947
330,-0.042609119,2.303911794,1.748956761
331,2.665941336,0.9481050378,0.2457246945
332,3.87135159,2.101004926,1.162543122
333,3.156675711,3.350970672,1.303281856
334,0.09745458622,-0.2762156445,1.25046587
335,1.36980617,-0.4189903969,0.5665835763
336,1.268365527,0.2755539038,2.28239028
337,0.9661986667,1.959649049,1.339455695
338,2.550217193,1.66925725,1.196281378
339,1.364562557,-0.04709337429,2.455191111
340,2.717715836,0.5527838483,2.926068056
341,-0.1459805065,1.62690481,2.047222341
342,3.706532412,2.77519213,2.959005147
343,0.615173541,1.087428712,0.5520048758
344,2.401693848,-0.3554895803,2.140461878
345,1.591277096,-0.8416138896,2.821762609
346,0.6332557268,1.777382423,1.320420768
347,-0.3212515462,0.3678327935,2.096392122
348,-0.886523023,1.342705494,1.926689278
349,-0.1978786159,2.615857153,3.269704352
350,0.8344547249,2.007767183,2.950562351
351,3.293790644,1.579431331,2.824850376
352,2.553095168,-0.1234834789,2.671845674
353,3.417262701,0.5201006462,2.530408633
354,1.858650203,0.4006830697,1.293610969
355,0.3670564361,2.333859595,2.309341926
356,2.028163417,2.010534227,2.930264802
357,0.5503994408,1.998836566,0.3623399696
358,1.604765479,2.487898977,2.437988379
359,1.775016985,2.580861779,1.834131422
360,4.002698057,0.6550607366,2.402582064
361,3.019369722,2.634748082,3.110507384
362,2.860435688,1.982525486,1.106336185
363,1.113038625,2.712308829,1.203805905
364,1.431087698,2.798197206,1.669217154
365,1.900616031,-0.4575552622,1.856491986
366,0.7156032603,1.976731606,1.445172138
367,2.419374136,1.69269498,1.777893509
368,1.884273444,1.931952547,1.609949453
369,2.101027537,2.553447835,2.17318778
370,3.11813934,1.490605585,3.446080677
371,3.754113556,-0.6703127883,0.9518725187
372,-0.8078698134,3.968204237,2.757128546
373,2.874826036,1.450505989,0.9518969688
374,0.9198649156,3.157018174,1.164294878
375,1.43576532,0.7811535504,0.3594418929
376,2.02442884,2.555598398,2.490094247
377,3.296133242,1.282060132,3.307904762
378,1.197445572,2.398983684,0.7925253299
379,0.6326131552,1.918941068,1.710583484
380,-0.3264514047,2.255377004,-0.04820923974
381,1.205029383,1.083414821,0.8703049585
382,1.193934485,2.937832944,2.0428566
383,4.294284791,2.123524354,1.557588922
384,0.1490440978,2.084437976,1.570402562
385,1.832176948,0.9816032376,2.565065082
386,1.906965379,0.4433246806,2.292090706
387,2.574115804,1.174412357,0.4851699905
388,3.683225521,1.769872982,1.929916728
389,2.285869139,2.503369678,1.069031351
390,3.336231547,2.223711215,2.158816995
391,3.545300899,2.337203047,0.9422746696
392,1.501621392,1.9723871,0.7862687091
393,1.747099879,0.5745209844,1.394146973
394,0.9331143111,2.128450432,1.342991333
395,1.826270333,0.7391760559,1.302339198
396,0.6717668182,1.905361904,1.880513947
397,-0.01707645015,2.650706668,2.515075359
398,2.473158726,2.092797801,2.629416602
399,2.601631312,4.306526641,2.907313198
400,2.322991025,2.945355923,0.4738399003
401,2.696237596,1.777006825,1.699744889
402,-1.118664107,1.653189958,0.3939311103
403,1.450742213,1.637302136,1.043339955
404,-0.1320894968,2.011205488,1.690323405
405,2.63774061,1.254050572,2.257337902
406,2.019709684,0.7263006106,0.6178167633
407,2.675708331,3.689093349,4.10580274
408,1.271719882,-1.55410224,1.127710624
409,2.877564742,1.81644137,1.057501903
410,2.257759054,1.360992832,1.614874724
411,0.7912050519,2.647710598,1.851173277
412,0.117348354,0.8924180556,2.031175143
413,0.3319120363,3.464463514,1.016535897
414,2.707015631,0.8419606356,2.897147106
415,2.394441764,1.536861963,0.6539282871
416,1.552637389,-0.08883070674,1.984594047
417,1.57904129,3.202028331,3.285444715
418,3.250688414,2.123708563,2.269218889
419,1.690686273,3.555058956,0.6454779236
420,2.337529022,2.248199425,3.43056156
421,0.9145988942,1.252936958,3.48169475
422,3.959147319,2.86161449,2.339764854
423,0.9454212715,2.015076227,2.563034315
424,0.8908443213,0.04056427237,4.264046299
425,0.9163766321,2.8284192,3.015975639
426,3.771122109,0.8815626626,1.937302456
427,0.8510392104,1.370098993,2.234534748
428,-0.1987549776,2.551733383,1.22124598
429,2.605735958,0.1618610961,2.412312552
430,1.988054481,3.926141227,3.310587186
431,3.21619207,1.881134732,0.8790243261
432,3.458256445,3.263607425,0.8318010101
433,2.877193829,1.177304872,0.06976922857
434,0.4634591396,3.006877785,3.494470122
435,1.525218723,3.397601162,3.018051305
436,2.491177341,1.218824052,1.779233365
437,-0.05608651409,2.586969328,1.330910396
438,-0.4265458684,0.977902495,2.267401097
439,2.04927225,0.8718743793,2.375751591
440,4.220634742,1.766527438,1.407383485
441,2.444002272,1.023272957,2.388816974
442,3.489453075,2.575476938,3.241730841
443,2.51573813,2.215558101,0.1445049623
444,3.484234717,1.723923037,3.656033413
445,2.249695271,2.533756069,2.169972838
446,0.1609562889,1.676573986,1.680216249
447,0.08928675646,1.514209993,1.660281264
448,3.323494113,2.342313458,2.37990483
449,1.531283295,2.923996956,3.036303765
450,2.446492115,0.6987797407,3.778196399
451,2.895721646,0.04905770856,3.034658483
452,0.5849443641,3.905178296,2.067378934
453,2.53871008,2.443363072,1.416082467
454,0.6301392244,3.452105131,2.194441908
455,2.398213719,2.970062617,2.550388714
